ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO
2017-0015,2/2/2017,2017,2,2,PEATON,PEATON,MASCULINO,82,21/2/2017
2017-0016,3/2/2017,2017,2,3,CONDUCTOR,MOTO,MASCULINO,27,4/2/2017
2017-0017,6/2/2017,2017,2,6,CONDUCTOR,MOTO,MASCULINO,32,6/2/2017
2017-0018,9/2/2017,2017,2,9,CONDUCTOR,MOTO,MASCULINO,30,9/2/2017
2017-0021,18/2/2017,2017,2,18,CONDUCTOR,MOTO,MASCULINO,43,18/2/2017
2017-0024,23/2/2017,2017,2,23,PEATON,PEATON,MASCULINO,39,23/2/2017
2017-0025,24/2/2017,2017,2,24,CONDUCTOR,MOTO,MASCULINO,23,24/2/2017
2017-0026,26/2/2017,2017,2,26,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,23,26/2/2017
2017-0026,26/2/2017,2017,2,26,CONDUCTOR,AUTO,MASCULINO,19,26/2/2017
2017-0027,26/2/2017,2017,2,26,PEATON,PEATON,MASCULINO,SD,26/2/2017
2017-0028,28/2/2017,2017,2,28,PEATON,PEATON,MASCULINO,87,28/2/2017
2017-0029,7/3/2017,2017,3,7,SD,SD,MASCULINO,34,7/3/2017
2017-0030,7/3/2017,2017,3,7,CONDUCTOR,AUTO,FEMENINO,27,7/3/2017
2017-0031,11/3/2017,2017,3,11,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,70,11/3/2017
2017-0032,12/3/2017,2017,3,12,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,40,12/3/2017
2017-0033,12/3/2017,2017,3,12,CONDUCTOR,AUTO,MASCULINO,28,12/3/2017
2017-0034,13/3/2017,2017,3,13,PEATON,PEATON,MASCULINO,43,13/3/2017
2017-0035,23/3/2017,2017,3,23,CONDUCTOR,AUTO,MASCULINO,28,23/3/2017
2017-0035,23/3/2017,2017,3,23,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,32,23/3/2017
2017-0035,23/3/2017,2017,3,23,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30,23/3/2017
2017-0036,29/3/2017,2017,3,29,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,SD,29/3/2017
2017-0036,29/3/2017,2017,3,29,CONDUCTOR,MOTO,MASCULINO,20,29/3/2017
2017-0037,31/3/2017,2017,3,31,CONDUCTOR,MOTO,MASCULINO,41,31/3/2017
2017-0038,1/4/2017,2017,4,1,CONDUCTOR,MOTO,FEMENINO,40,1/4/2017
2017-0040,3/4/2017,2017,4,3,CONDUCTOR,AUTO,MASCULINO,43,3/4/2017
2017-0041,3/4/2017,2017,4,3,CONDUCTOR,MOTO,MASCULINO,17,SD
2017-0042,10/4/2017,2017,4,10,CONDUCTOR,MOTO,MASCULINO,SD,10/4/2017
2017-0045,14/4/2017,2017,4,14,CONDUCTOR,MOTO,MASCULINO,21,14/4/2017
2017-0047,23/4/2017,2017,4,23,CONDUCTOR,MOTO,MASCULINO,37,23/4/2017
2017-0049,27/4/2017,2017,4,27,PEATON,PEATON,MASCULINO,22,27/4/2017
2017-0050,28/4/2017,2017,4,28,CONDUCTOR,MOTO,MASCULINO,46,28/4/2017
2017-0050,28/4/2017,2017,4,28,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,16,28/4/2017
2017-0051,1/5/2017,2017,5,1,CONDUCTOR,AUTO,MASCULINO,33,1/5/2017
2017-0052,5/5/2017,2017,5,5,PEATON,PEATON,FEMENINO,47,5/5/2017
2017-0053,5/5/2017,2017,5,5,CONDUCTOR,MOTO,MASCULINO,28,5/5/2017
2017-0054,7/5/2017,2017,5,7,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,20,7/5/2017
2017-0055,9/5/2017,2017,5,9,CONDUCTOR,AUTO,MASCULINO,32,9/5/2017
2017-0058,9/5/2017,2017,5,9,PEATON,PEATON,MASCULINO,80,9/5/2017
2017-0059,11/5/2017,2017,5,11,PEATON,PEATON,FEMENINO,39,11/5/2017
2017-0060,13/5/2017,2017,5,13,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,30,13/5/2017
2017-0061,15/5/2017,2017,5,15,PEATON,PEATON,MASCULINO,47,16/5/2017
2017-0062,15/5/2017,2017,5,15,CONDUCTOR,MOTO,MASCULINO,35,15/5/2017
2017-0063,17/5/2017,2017,5,17,PEATON,PEATON,FEMENINO,79,17/5/2017
2017-0064,20/5/2017,2017,5,20,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,61,20/5/2017
2017-0065,22/5/2017,2017,5,22,CICLISTA,BICICLETA,MASCULINO,21,22/5/2017
2017-0066,22/5/2017,2017,5,22,PEATON,PEATON,MASCULINO,10,22/5/2017
2017-0067,23/5/2017,2017,5,23,CONDUCTOR,MOTO,MASCULINO,21,23/5/2017
2017-0068,27/5/2017,2017,5,27,CONDUCTOR,MOTO,MASCULINO,32,27/5/2017
2017-0069,29/5/2017,2017,5,29,CONDUCTOR,MOTO,MASCULINO,39,29/5/2017
