N_VICTIMAS,HH,COMUNA,EDAD,TIPO_DE_CALLE_AVENIDA,TIPO_DE_CALLE_CALLE,TIPO_DE_CALLE_GRAL PAZ,ACUSADO_AUTO,ACUSADO_BICICLETA,ACUSADO_CARGAS,ACUSADO_MOTO,ACUSADO_MULTIPLE,ACUSADO_OBJETO FIJO,ACUSADO_OTRO,ACUSADO_PASAJEROS,ACUSADO_TREN,SEXO_FEMENINO,SEXO_MASCULINO
1.0,15,2.0,82,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,5,1.0,27,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,8,14.0,32,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,7,9.0,30,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1.0,5,1.0,43,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1.0,20,7.0,39,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,17,7.0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2.0,5,4.0,23,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2.0,5,4.0,19,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1.0,21,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,9,6.0,87,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,2,9.0,34,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1.0,8,9.0,27,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,1,3.0,70,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1.0,5,8.0,40,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1.0,7,11.0,28,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1.0,7,14.0,43,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3.0,5,1.0,28,1,0,0,0,0,0,0,0,1,0,0,0,0,1
3.0,5,1.0,32,1,0,0,0,0,0,0,0,1,0,0,0,0,1
3.0,5,1.0,30,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2.0,18,12.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2.0,18,12.0,20,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1.0,3,1.0,41,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,19,7.0,40,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1.0,9,13.0,43,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1.0,23,7.0,17,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1.0,9,14.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1.0,6,10.0,21,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1.0,6,8.0,37,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,18,8.0,22,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2.0,11,9.0,46,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2.0,11,9.0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,3,7.0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,3,8.0,47,0,0,1,0,0,1,0,0,0,0,0,0,1,0
